T1,99.538,118.087,128.596,102.328,110.467,95.016,95.819,97.833,93.319,90.455,98.785,98.896,91.712,93.055,93.016,92.671,76.467,86.933,85.333,84.123,86.919,87.618,116.864,107.644,108.748,112.347,143.686,141.142,124.501,147.301,141.053
T2,41.778,36.073,32.834,36.712,31.988,28.209,41.526,39.178,39.65,32.527,27.718,32.457,27.918,20.099,19.928,28.383,30.033,29.209,30.228,37.776,34.92,28.915,33.559,46.117,37.476,46.712,60.474,53.615,97.15,41.122,88.432
T3,66.134,61.173,56.362,57.361,59.703,86.016,84.633,68.319,61.634,92.078,68.906,64.663,78.377,108.468,64.7,63.163,55.527,45.645,52.705,61.839,33.821,39.322,81.675,79.207,110.588,114.36,120.771,97.218,96.082,58.845,60.334
T4,67.758,55.483,75.548,62.937,73.754,65.687,68.939,61.001,67.529,68.423,60.902,61.944,62.626,70.436,69.929,67.743,56.963,54.841,59.585,58.686,62.172,64.329,65.127,63.686,63.441,61.992,50.664,67.927,64.315,58.185,61.609
T5,138.383,76.362,107.046,116.36,147.754,148.656,151.964,124.337,167.944,191.246,140.237,144.42,141.578,176.399,145.232,124.903,142.459,114.648,135.467,141.693,135.607,150.642,162.267,161.465,169.06,177.614,179.192,177.946,177.093,96.199,220.831
T6,69.886,64.826,74.643,71.976,81.692,90.059,85.886,72.068,72.885,81.007,72.292,73.935,74.157,67.92,74.334,68.104,77.663,61.728,70.456,73.595,54.498,54.111,63.35,71.863,81.805,102.848,153.378,116.38,66.976,46.739,82.074
T7,146.655,117.286,164.534,161.224,133.999,79.087,150.027,108.361,138.124,149.103,167.392,161.221,141.695,155.076,161.72,149.468,165.466,143.919,147.852,164.223,125.852,127.302,150.564,159.23,179.693,181.124,157.468,213.735,248.741,252.05,293.366
T8,37.618,31.609,150.087,174.024,31.577,42.216,39.239,36.155,33.673,33.785,30.41,30.622,32.221,31.497,29.545,32.034,30.364,32.717,30.886,30.344,38.17,33.487,30.715,40.692,43.759,72.457,73.319,77.356,97.118,97.71,85.037
T9,70.497,60.021,55.615,41.426,26.034,25.542,25.697,23.479,24.151,49.021,58.405,77.302,68.269,62.219,61.264,61.824,68.409,58.387,51.249,42.616,33.1,46.602,50.016,92.428,109.455,98.178,171.126,157.501,174.081,135.327,170.729
T1,99.538,118.087,128.596,102.328,110.467,95.016,95.819,97.833,93.319,90.455,98.785,98.896,91.712,93.055,93.016,92.671,76.467,86.933,85.333,84.123,86.919,87.618,116.864,107.644,108.748,112.347,143.686,141.142,124.501,147.301,141.053
T2,41.778,36.073,32.834,36.712,31.988,28.209,41.526,39.178,39.65,32.527,27.718,32.457,27.918,20.099,19.928,28.383,30.033,29.209,30.228,37.776,34.92,28.915,33.559,46.117,37.476,46.712,60.474,53.615,97.15,41.122,88.432
T3,66.134,61.173,56.362,57.361,59.703,86.016,84.633,68.319,61.634,92.078,68.906,64.663,78.377,108.468,64.7,63.163,55.527,45.645,52.705,61.839,33.821,39.322,81.675,79.207,110.588,114.36,120.771,97.218,96.082,58.845,60.334
T4,67.758,55.483,75.548,62.937,73.754,65.687,68.939,61.001,67.529,68.423,60.902,61.944,62.626,70.436,69.929,67.743,56.963,54.841,59.585,58.686,62.172,64.329,65.127,63.686,63.441,61.992,50.664,67.927,64.315,58.185,61.609
T5,138.383,76.362,107.046,116.36,147.754,148.656,151.964,124.337,167.944,191.246,140.237,144.42,141.578,176.399,145.232,124.903,142.459,114.648,135.467,141.693,135.607,150.642,162.267,161.465,169.06,177.614,179.192,177.946,177.093,96.199,220.831
T6,69.886,64.826,74.643,71.976,81.692,90.059,85.886,72.068,72.885,81.007,72.292,73.935,74.157,67.92,74.334,68.104,77.663,61.728,70.456,73.595,54.498,54.111,63.35,71.863,81.805,102.848,153.378,116.38,66.976,46.739,82.074
T7,146.655,117.286,164.534,161.224,133.999,79.087,150.027,108.361,138.124,149.103,167.392,161.221,141.695,155.076,161.72,149.468,165.466,143.919,147.852,164.223,125.852,127.302,150.564,159.23,179.693,181.124,157.468,213.735,248.741,252.05,293.366
T8,37.618,31.609,150.087,174.024,31.577,42.216,39.239,36.155,33.673,33.785,30.41,30.622,32.221,31.497,29.545,32.034,30.364,32.717,30.886,30.344,38.17,33.487,30.715,40.692,43.759,72.457,73.319,77.356,97.118,97.71,85.037
T9,70.497,60.021,55.615,41.426,26.034,25.542,25.697,23.479,24.151,49.021,58.405,77.302,68.269,62.219,61.264,61.824,68.409,58.387,51.249,42.616,33.1,46.602,50.016,92.428,109.455,98.178,171.126,157.501,174.081,135.327,170.729
T10,116.675,125.412,131.857,124.57,147.199,90.838,79.517,127.494,128.425,111.149,113.373,104.524,97.031,107.146,118.666,109.82,115.271,115.038,107.171,133.173,130.768,140.697,107.143,121.882,126.76,133.595,148.422,147.999,158.53,151.445,150.31
